date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,direct_radiation
2010-06-09,1655.516,5931.506,1315.8346,1759.0096,2334.25,,762.3986,1775.835,15488.667
2010-06-10,1741.1576,5645.478,1330.9491,1852.3906,3565.125,,726.94604,1652.445,13633.083
2010-06-11,1751.5387,5503.854,1309.797,1867.6514,1643.1666,,689.4554,1576.245,17237.875
2010-06-12,1588.8805,5866.525,1228.9784,1674.1504,4836.1665,,587.5733,1537.8451,12039.708
2010-06-13,1227.8075,5773.643,869.80743,1163.9298,7024.5,,687.13666,1738.29,5916.6665
2010-06-14,1054.7554,6243.674,796.44086,962.5959,5775.5835,,710.1406,1734.315,3212.5833
2010-06-15,1166.4991,5633.112,783.26166,1064.3112,6394.7915,,775.17505,1679.82,6609.75
2010-06-16,1073.795,5424.0854,649.72833,869.97284,6642.0,,1234.6788,2584.4849,6786.4585
2010-06-17,1226.545,5301.4136,768.9929,1095.5992,4345.3335,,1013.2841,2223.24,12140.375
2010-06-18,1203.0637,6413.982,979.1616,1155.9689,7060.4165,,808.4025,1909.005,5201.5835
2010-06-19,956.95966,5421.45,533.26166,803.06323,6708.9165,,658.7394,1504.02,4416.2085
2010-06-20,954.55743,5492.761,554.65546,760.56647,7321.875,,956.905,2056.41,2334.4167
2010-06-21,997.45123,5485.5024,592.87,791.4681,6166.0835,,1109.4587,2448.51,4418.625
2010-06-22,1058.2158,5161.2856,570.545,842.30524,4322.7085,,1159.6844,2495.535,8782.5
2010-06-23,1117.5013,5088.6333,606.7325,953.1025,4030.7917,,911.21063,1932.7198,10898.833
2010-06-24,1228.22,5143.998,724.54913,1104.9865,4899.5835,,797.2974,1738.035,8310.625
2010-06-25,1281.0095,5575.311,867.93036,1202.9357,3325.1667,,787.0544,1762.0499,10991.917
2010-06-26,1334.0659,5648.051,941.6846,1284.534,2383.5833,,779.4843,1733.265,12910.167
2010-06-27,1338.2701,5044.278,803.4012,1263.0541,469.45834,,776.32086,1738.995,18484.875
2010-06-28,1454.3784,5030.763,901.4637,1448.7423,878.125,,504.26144,1293.69,16809.25
2010-06-29,1574.5638,4831.672,962.45953,1594.3301,883.25,,444.4541,1102.8451,16862.625
2010-06-30,1601.2451,5201.457,1084.4554,1651.277,2030.4584,,505.16428,1243.215,16048.042
2010-07-01,1623.9326,5325.607,1143.3658,1705.8265,5012.9165,,365.32144,982.63495,13363.708
